Date,AUD=X,TRY=X,RUB=X,INR=X,EUR=X,GBP=X,CHF=X,CAD=X,CNY=X,JPY=X,split_point
2006-05-18,1.308899998664856,1.4980000257492063,27.0,45.400001525878906,0.7781500220298767,0.5281800031661987,1.2050000429153442,1.1196000576019287,8.000399589538574,110.9000015258789,False
2006-05-19,1.3207000494003296,1.4780000448226929,27.05299949645996,45.29499816894531,0.783270001411438,0.5319100022315979,1.2174999713897705,1.117400050163269,8.010000228881836,111.66000366210938,True
2006-05-22,1.327299952507019,1.534999966621399,27.059999465942383,45.290000915527344,0.7780299782752991,0.5304800271987915,1.205299973487854,1.1167000532150269,8.015999794006348,111.45999908447266,False
2006-05-23,1.3315999507904053,1.491000056266785,26.979999542236328,45.380001068115234,0.782289981842041,0.5327399969100952,1.212000012397766,1.1247999668121338,8.010000228881836,112.13999938964844,False
2006-05-24,1.3278000354766846,1.5490000247955322,27.0,45.68000030517578,0.7828400135040283,0.5343899726867676,1.2161999940872192,1.1197999715805054,8.010000228881836,112.73999786376952,False
2006-05-25,1.3142000436782837,1.5490000247955322,27.040000915527344,45.76900100708008,0.7806400060653687,0.5331599712371826,1.2163000106811523,1.1074999570846558,8.010000228881836,111.76000213623048,False
2006-05-26,1.319100022315979,1.524999976158142,27.04800033569336,45.755001068115234,0.7849900126457214,0.5377200245857239,1.225000023841858,1.1067999601364136,8.015000343322754,112.6500015258789,True
2006-05-29,1.3174999952316284,1.5260000228881836,27.049999237060547,45.9900016784668,0.784250020980835,0.5376600027084351,1.2238999605178833,1.1052000522613523,8.01259994506836,112.55999755859376,False
2006-05-30,1.3127000331878662,1.5388000011444092,26.940000534057617,46.08000183105469,0.7773000001907349,0.5314300060272217,1.211899995803833,1.0992000102996826,8.022000312805176,112.1500015258789,False
2006-05-31,1.3284000158309937,1.5631999969482422,27.006000518798828,46.15999984741211,0.780269980430603,0.5343000292778015,1.2178000211715698,1.1009000539779663,8.013999938964844,112.52999877929688,False
2006-06-01,1.3371000289916992,1.5299999713897705,27.09000015258789,46.119998931884766,0.7805799841880798,0.5357900261878967,1.2201999425888062,1.1024999618530271,8.01039981842041,112.4800033569336,False
2006-06-02,1.3314000368118286,1.5850000381469729,26.76000022888184,45.59400177001953,0.7741100192070007,0.5312899947166443,1.207900047302246,1.101099967956543,8.012999534606934,111.7300033569336,True
2006-06-05,1.336400032043457,1.5850000381469729,26.709999084472656,45.68000030517578,0.7751299738883972,0.5343599915504456,1.208199977874756,1.1053999662399292,8.012999534606934,112.33999633789062,False
2006-06-06,1.3487999439239502,1.5614999532699585,26.809999465942383,45.84999847412109,0.7799100279808044,0.5373700261116028,1.215849995613098,1.1131999492645264,8.0024995803833,113.21499633789062,False
2006-06-07,1.347000002861023,1.5475000143051147,26.850000381469727,45.72999954223633,0.7811300158500671,0.5384399890899658,1.2201999425888062,1.1119999885559082,8.006999969482422,113.43000030517578,False
2006-06-08,1.34660005569458,1.5525000095367432,26.988000869750977,45.7599983215332,0.7905799746513367,0.5425599813461304,1.232200026512146,1.121500015258789,8.008500099182129,113.93499755859376,False
2006-06-09,1.3323999643325806,1.5347000360488892,27.040000915527344,45.86000061035156,0.7910799980163574,0.5432699918746948,1.2309000492095947,1.106899976730347,8.001199722290039,113.95999908447266,True
2006-06-12,1.347000002861023,1.559000015258789,27.049999237060547,45.81999969482422,0.7945299744606018,0.5429499745368958,1.2336000204086304,1.0990999937057495,8.005999565124512,114.37999725341795,False
2006-06-13,1.3557000160217283,1.583799958229065,27.09000015258789,45.93999862670898,0.7970700263977051,0.5453199744224548,1.238700032234192,1.1133999824523926,8.012999534606934,115.23999786376952,False
2006-06-14,1.3553999662399292,1.593000054359436,27.030000686645508,45.81999969482422,0.7930799722671509,0.5420299768447876,1.2304999828338623,1.1134999990463257,7.990499973297119,114.86000061035156,False
2006-06-15,1.34660005569458,1.5943000316619873,27.03499984741211,45.810001373291016,0.7911400198936462,0.5405399799346924,1.2304999828338623,1.111199975013733,7.990900039672852,114.71499633789062,False
2006-06-16,1.3523999452590942,1.587499976158142,26.913000106811523,45.8489990234375,0.7908300161361694,0.5409799814224243,1.23389995098114,1.125300049781799,7.98829984664917,115.13999938964844,True
2006-06-19,1.357800006866455,1.5959999561309814,27.040000915527344,45.81999969482422,0.7949100136756897,0.5432100296020508,1.2401000261306765,1.1203999519348145,7.997700214385986,115.37999725341795,False
2006-06-20,1.3557000160217283,1.6200000047683716,27.040000915527344,45.86000061035156,0.7943400144577026,0.5424799919128418,1.2379000186920166,1.1175999641418457,7.9928998947143555,114.9000015258789,False
2006-06-21,1.3538999557495115,1.649999976158142,26.96999931335449,45.84000015258789,0.7898300290107727,0.5419800281524658,1.2336000204086304,1.1075999736785889,7.991000175476074,114.83499908447266,False
2006-06-22,1.3631000518798828,1.6720999479293823,27.04700088500977,45.91999816894531,0.7946000099182129,0.5469300150871277,1.242300033569336,1.117799997329712,7.986499786376953,116.08000183105467,False
2006-06-23,1.3660999536514282,1.6990000009536743,27.10700035095215,45.94499969482422,0.7984700202941895,0.5493000149726868,1.246999979019165,1.120100021362305,7.989799976348877,116.54000091552734,True
2006-06-26,1.364400029182434,1.6614999771118164,27.03700065612793,46.25400161743164,0.7943400144577026,0.5483999848365784,1.2421000003814695,1.1232999563217163,7.992000102996826,116.22000122070312,False
2006-06-27,1.3665000200271606,1.6288000345230105,27.05699920654297,46.2599983215332,0.7956100106239319,0.5491799712181091,1.2441999912261963,1.1227999925613403,7.988500118255615,116.31999969482422,False
